Passenger Id,Name,Sex,Age,Pclass,Survived,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Email,Join Date,Annual Spend
P00669,"Cook, Mr. Jacob",M,43.0,3rd,0,0,0,  A/5 3536 ,8.0500,,Southampton,cook@mail.com,25-Jul-1912,287.78
P00031,"Uruchurtu, Don. Manuel E",Male,40.0,1st,0,0,0,PC 17601,27.7208,,c,uruchurtu@yahoo.com,09/19/1911,$972.04
P00378,"Widener, Mr. Harry Elkins",Male,27.0,1st,0,0,2,  113503 ,211.5000,C82,c,widener@outlook.com,11/09/1912,"5,066.79"
P00536,"Hart, Miss. Eva Miriam",FEMALE,7.0,2nd,1,0,2,  F.C.C. 13529 ,26.2500,,s,hart@gmail.com,06/01/1912,285.39 USD
P00807,"Andrews, Mr. Thomas Jr",M,,1,0,0,0,  112050 ,0.0000,A36,S,andrews@outlook.com,13/06/1910,$0.00
P00793,"Sage, Miss. Stella Anna",FEMALE.,,3,0,8,2,  CA. 2343 ,69.5500,,Southampton,sage@outlook.com,05/21/1912,"1,197.05"
P00364,"Asim, Mr. Adola",male,35.0,Third,0,0,0,  SOTON/O.Q. 3101310 ,7.0500,,s,,"Dec 13, 1911",$83.92
P00584,"Ross, Mr. John Hugo", male ,36.0,1,0,0,0,  13049 ,40.1250,A10,Cherbourg ,ross@gmail.com,05-Dec-1912,988.10 USD
P00166,"Goldsmith, Master. Frank John William ""Frankie""",M,9.0,Unknown,1,0,2,363291,20.5250,,s,goldsmith@mail.com,08-May-1911,762.10
P00484,"Turkula, Mrs. (Hedwig)",Female,63.0,Third,1,0,0,  4134 ,9.5875,,S,turkula@mail.com,"Aug 29, 1912",USD 375.65
P00774,"Elias, Mr. Dibo",Male,,3rd,0,0,0,2674,7.2250,,C,elias@outlook.com,30-Jul-1911,269.90 USD
P00552,"Sharp, Mr. Percival James R",MALE,27.0,2,0,0,0,  244358 ,26.0000,,s,sharp@yahoo.com,20/10/1912,1500000.0
P00769,"Moran, Mr. Daniel J", male ,,Third,0,1,0,  371110 ,24.1500,,Queenstown,moran@gmail.com,1910-10-05,$220.34
P00695,"Weir, Col. John",M,60.0,1,0,0,0,  113800 ,26.5500,,s,,14/12/1910,"1,010.01 USD"
P00719,"McEvoy, Mr. Michael",Male,,3,0,0,0,36568,15.5,,q,mcevoy@gmail.com,1910-05-18,$338.53
P00313,"Lahtinen, Mrs. William (Anna Sylfven)",f,26.0,2nd,0,1,1,250651,26.0000,,S,lahtinen@gmail.com,"Apr 13, 1912",799.16 USD
P00714,"Larsson, Mr. August Viktor",m,29.0,3,0,0,0,7545,9.4833,,s,larsson@mail.com,16/05/1910,$147.26
P00310,"Francatelli, Miss. Laura Mabel",F,30.0,1,1,0,0,PC 17485,56.9292,E36,c,francatelli@gmail.com,"Aug 20, 1912","$1,487.30"
P00846,"Abbing, Mr. Anthony",Male,42.0,Third,0,0.0,0,C.A. 5547,7.55,,S,abbing@gmail.com,05/07/1911,USD 274.39
P00617,"Danbom, Mr. Ernst Gilbert",M,34.0,Third,0,1.0,1,347080,14.4000,,s,danbom@gmail.com,1911-06-10,USD 327.03
P00356,"Vanden Steen, Mr. Leo Peter",M,28.0,3rd,0,0,0,  345783 ,9.5000,,S,vandensteen@mail.com,1912-07-30,261.59 USD
P00040,"Nicola-Yarred, Miss. Jamila",f,14.0,Third,1,1,0,2651,11.2417,,C,nicolayarred@outlook.com,08/12/1911,196.43
P00232,"Larsson, Mr. Bengt Edvin",Male,29.0,Third,0,0,0,347067,7.775,,Southampton,larsson@mail.com,10/22/1910,$269.33
P00867,"Duran y More, Miss. Asuncion",FEMALE.,,2,1,1,0,  SC/PARIS 2149 ,13.8583,,Cherbourg ,duranymore@mail.com,1911-10-29,542.07
P00604,"Torber, Mr. Ernst William",Male,-1.0,Third,0,0.0,0,364511,8.0500,,S,torber@gmail.com,03/26/1911,$174.70
P00064,"Skoog, Master. Harald",Male,4.0,3,0,3,2,  347088 ,27.9000,,Southampton,skoog@mail.com,10-May-1912,
P00193,"Andersen-Jensen, Miss. Carla Christine Nielsine",f,19.0,3,1,1,0,  350046 ,7.8542,,S,andersenjensen@outlook.com,1911-09-01,$274.79
P00482,"Frost, Mr. Anthony Wood ""Archie""",male,,2,0,0,0,239854,0.0000,,Southampton,frost@mail.com,1911-05-08,0.00 USD
P00866,"Bystrom, Mrs. (Karolina)",FEMALE.,42.0,2,1,0,0,236852,13.0000,,S,bystrom@outlook.com,"Jan 17, 1911",162.67 USD
P00068,"Crease, Mr. Ernest James",M,,Third,0,0.0,0,S.P. 3464,8.1583,,s,crease@yahoo.com,"Nov 29, 1912",193.35
P00073,"Hood, Mr. Ambrose Jr",M,21.0,Second,0,0,0,S.O.C. 14879,73.5000,,S,hood@yahoo.com,27/08/1910,883.56
P00656,"Hickman, Mr. Leonard Mark",male,24.0,Second,0,2,0,S.O.C. 14879,73.5000,,s,hickman@outlook.com,23/01/1912,"1,154.66 USD"
P00680,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,1st,1,0,1,PC 17755,512.3292,B51 B53 B55,Cherbourg ,cardeza@mail.com,28/03/1910,-
P00140,"Giglio, Mr. Victor", male ,24.0,First,0,0,0,PC 17593,79.2000,B86,c,giglio@yahoo.com,"Jun 18, 1911","USD 2,057.47"
P00733,"Knight, Mr. Robert J",MALE,,2nd,0,0,0,239855,0.0000,,S,knight@mail.com,19/01/1910,USD 0.00
P00824,"Moor, Mrs. (Beila)",female,27.0,3,1,0,1,392096,12.4750,E121,s,moor@outlook.com,12/07/1911,USD 220.09
P00175,"Smith, Mr. James Clinch",m,56.0,1,0,0,0,17764,30.6958,A7,,smith@outlook.com,1911-03-01,"USD 1,204.38"
P00536,"Hart, Miss. Eva Miriam",FEMALE,7.0,2nd,1,0.0,2,  F.C.C. 13529 ,26.2500,,s,hart@gmail.com,06/01/1912,285.39 USD
P00500,"Svensson, Mr. Olof",M,24.0,3rd,0,0,0,  350035 ,7.7958,,s,svensson@yahoo.com,1910-12-02,295.83 USD
P00071,"Jenkin, Mr. Stephen Curnow", male ,32.0,2nd,0,0,0,C.A. 33111,10.5,,s,jenkin@mail.com,1911-03-24,230.01
P00717,"Endres, Miss. Caroline Louise",F,38.0,1,1,0,0,PC 17757,227.5250,C45,c,endres@outlook.com,"Oct 13, 1911","3,746.68 USD"
