Passenger Id,Name,Sex,Age,Pclass,Survived,SibSp,Parch,Ticket,Fare,Cabin,HasCabin,Deck,Embarked,Email,Join Date,Annual Spend
P00669,"Cook, Mr. Jacob",Male,43.0,3,0,0,0,A/5 3536,8.05,,0,Unknown,S,cook@mail.com,1912-07-25,287.78
P00031,"Uruchurtu, Don. Manuel E",Male,40.0,1,0,0,0,PC 17601,27.7208,,0,Unknown,C,uruchurtu@yahoo.com,1911-09-19,972.04
P00378,"Widener, Mr. Harry Elkins",Male,27.0,1,0,0,2,113503,211.5,C82,1,C,C,widener@outlook.com,1912-09-11,5066.79
P00536,"Hart, Miss. Eva Miriam",Female,7.0,2,1,0,2,F.C.C. 13529,26.25,,0,Unknown,S,hart@gmail.com,1912-01-06,285.39
P00807,"Andrews, Mr. Thomas Jr",Male,35.0,1,0,0,0,112050,0.0,A36,1,A,S,andrews@outlook.com,1910-06-13,1192.635
P00793,"Sage, Miss. Stella Anna",Female,42.0,3,0,8,2,CA. 2343,69.55,,0,Unknown,S,sage@outlook.com,1912-05-21,1197.05
P00364,"Asim, Mr. Adola",Male,35.0,3,0,0,0,SOTON/O.Q. 3101310,7.05,,0,Unknown,S,,1911-12-13,83.92
P00584,"Ross, Mr. John Hugo",Male,36.0,1,0,0,0,13049,40.125,A10,1,A,C,ross@gmail.com,1912-12-05,988.1
P00166,"Goldsmith, Master. Frank John William ""Frankie""",Male,9.0,3,1,0,2,363291,20.525,,0,Unknown,S,goldsmith@mail.com,1911-05-08,762.1
P00484,"Turkula, Mrs. (Hedwig)",Female,63.0,3,1,0,0,4134,9.5875,,0,Unknown,S,turkula@mail.com,1912-08-29,375.65
P00774,"Elias, Mr. Dibo",Male,25.0,3,0,0,0,2674,7.225,,0,Unknown,C,elias@outlook.com,1911-07-30,269.9
P00552,"Sharp, Mr. Percival James R",Male,27.0,2,0,0,0,244358,26.0,,0,Unknown,S,sharp@yahoo.com,1912-10-20,7727.5800000000045
P00769,"Moran, Mr. Daniel J",Male,25.5,3,0,1,0,371110,24.15,,0,Unknown,Q,moran@gmail.com,1910-10-05,220.34
P00695,"Weir, Col. John",Male,60.0,1,0,0,0,113800,26.55,,0,Unknown,S,,1910-12-14,1010.01
P00719,"McEvoy, Mr. Michael",Male,28.25,3,0,0,0,36568,15.5,,0,Unknown,Q,mcevoy@gmail.com,1910-05-18,338.53
P00313,"Lahtinen, Mrs. William (Anna Sylfven)",Female,26.0,2,0,1,1,250651,26.0,,0,Unknown,S,lahtinen@gmail.com,1912-04-13,799.16
P00714,"Larsson, Mr. August Viktor",Male,29.0,3,0,0,0,7545,9.4833,,0,Unknown,S,larsson@mail.com,1910-05-16,147.26
P00310,"Francatelli, Miss. Laura Mabel",Female,30.0,1,1,0,0,PC 17485,56.9292,E36,1,E,C,francatelli@gmail.com,1912-08-20,1487.3
P00846,"Abbing, Mr. Anthony",Male,42.0,3,0,0,0,C.A. 5547,7.55,,0,Unknown,S,abbing@gmail.com,1911-07-05,274.39
P00617,"Danbom, Mr. Ernst Gilbert",Male,34.0,3,0,1,1,347080,14.4,,0,Unknown,S,danbom@gmail.com,1911-06-10,327.03
P00356,"Vanden Steen, Mr. Leo Peter",Male,28.0,3,0,0,0,345783,9.5,,0,Unknown,S,vandensteen@mail.com,1912-07-30,261.59
P00040,"Nicola-Yarred, Miss. Jamila",Female,14.0,3,1,1,0,2651,11.2417,,0,Unknown,C,nicolayarred@outlook.com,1911-12-08,196.43
P00232,"Larsson, Mr. Bengt Edvin",Male,29.0,3,0,0,0,347067,7.775,,0,Unknown,S,larsson@mail.com,1910-10-22,269.33
P00867,"Duran y More, Miss. Asuncion",Female,34.0,2,1,1,0,SC/PARIS 2149,13.8583,,0,Unknown,C,duranymore@mail.com,1911-10-29,542.07
P00604,"Torber, Mr. Ernst William",Male,22.0,3,0,0,0,364511,8.05,,0,Unknown,S,torber@gmail.com,1911-03-26,174.7
